house_title,price,more_details_link,location
5 Bed Townhouse with En Suite in Lavington,"KSh 110,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790370,Lavington
6 Bed Townhouse with En Suite in Lavington,"KSh 150,000,000",https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3790369,Lavington
5 Bed House with En Suite in Runda,"KSh 165,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3790368,"Runda, Westlands"
5 Bed Townhouse with En Suite in Karen,"KSh 100,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-karen-3790366,Karen
5 Bed Townhouse with En Suite in Karen,"KSh 125,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-karen-3790360,Karen
4 Bed House with En Suite at Near Garellia,"KSh 75,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3790347,"Near Garellia, Karen"
5 Bed Villa with En Suite at Lower Kabete,"KSh 270,000,000",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lower-kabete-3790341,"Lower kabete, Lower Kabete, Westlands"
5 Bed House with En Suite in Lavington,"KSh 40,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lavington-3790336,Lavington
5 Bed Townhouse with En Suite at Runda,"KSh 120,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-runda-3790338,"Runda, Westlands"
4 Bed House with En Suite in Karen,"KSh 65,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3790321,Karen
4 Bed House with En Suite at Karen,"KSh 130,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3790282,Karen
4 Bed House with En Suite in Juja,"KSh 16,500,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-juja-3790284,Juja
4 Bed House with En Suite at New Runda,"KSh 20,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3790275,"00502, New runda, Runda, Westlands"
5 Bed Townhouse with En Suite in Westlands Area,"KSh 85,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3790262,"Westlands Area, Westlands"
5 Bed Townhouse with En Suite in Lavington,"KSh 81,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3790260,Lavington
5 Bed Townhouse with En Suite at Mombasa Road - Machakos County,"KSh 22,400,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-machakos-town-3790253,"Mombasa Road - Machakos County, Machakos"
4 Bed Townhouse with En Suite in Lavington,"KSh 71,000,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3790257,Lavington
4 Bed House with En Suite in Kikuyu Town,"KSh 12,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kikuyu-town-3790230,"Kikuyu Town, Kikuyu"
6 Bed House with Staff Quarters in Kiambu Road,"KSh 138,000,000",https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-kiambu-road-3790190,Kiambu Road
5 Bed Townhouse with Swimming Pool in Karen,"KSh 150,000,000",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-karen-3790179,Karen
3 Bed House in Nairobi West,"KSh 45,000,000",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-nairobi-west-3790173,Nairobi West
